Layer,Attack_type,percentage_of_weights_flipped,number_of_weights_flipped,Model_loss,Layer_type,loss_fn
backbone.layers.1.mixer.D,Hybrid,10.0,409,2.874288823455572,mixer.D,0.007027601035343697
backbone.layers.1.mixer.D,Hybrid,50.0,2048,2.887532688677311,mixer.D,0.0014099280706432182
backbone.layers.1.mixer.conv1d.weight,Magnitude,0.01,1,2.8565605022013187,mixer.conv1d.weight,2.8565605022013187
backbone.layers.1.mixer.conv1d.weight,Magnitude,0.1,16,2.865227274596691,mixer.conv1d.weight,0.1790767046622932
backbone.layers.1.mixer.conv1d.weight,Magnitude,1.0,163,2.9357766608397164,mixer.conv1d.weight,0.01801089975975286
backbone.layers.1.mixer.conv1d.weight,Magnitude,5.0,819,3.101319942623377,mixer.conv1d.weight,0.00378671543665858
backbone.layers.1.mixer.conv1d.weight,Magnitude,10.0,1638,2.9579717305799327,mixer.conv1d.weight,0.0018058435473625963
backbone.layers.1.mixer.conv1d.weight,Magnitude,50.0,8192,3.881455740580956,mixer.conv1d.weight,0.00047381051520763623
backbone.layers.1.mixer.conv1d.weight,Gradient,0.01,1,2.8569283510247865,mixer.conv1d.weight,2.8569283510247865
backbone.layers.1.mixer.conv1d.weight,Gradient,0.1,16,2.8531171505649886,mixer.conv1d.weight,0.1783198219103118
backbone.layers.1.mixer.conv1d.weight,Gradient,1.0,163,2.880349444846312,mixer.conv1d.weight,0.017670855489854677
backbone.layers.1.mixer.conv1d.weight,Gradient,5.0,819,2.8879004505773387,mixer.conv1d.weight,0.003526129976284907
backbone.layers.1.mixer.conv1d.weight,Gradient,10.0,1638,3.028033424168825,mixer.conv1d.weight,0.001848616254071322
backbone.layers.1.mixer.conv1d.weight,Gradient,50.0,8192,3.2983803637325764,mixer.conv1d.weight,0.00040263432174469926
backbone.layers.1.mixer.conv1d.weight,Hybrid,0.01,1,2.857340561846892,mixer.conv1d.weight,2.857340561846892
backbone.layers.1.mixer.conv1d.weight,Hybrid,0.1,16,2.8616870641708374,mixer.conv1d.weight,0.17885544151067734
backbone.layers.1.mixer.conv1d.weight,Hybrid,1.0,163,2.92704172556599,mixer.conv1d.weight,0.01795731119979135
backbone.layers.1.mixer.conv1d.weight,Hybrid,5.0,819,2.983119159936905,mixer.conv1d.weight,0.0036423921366750974
backbone.layers.1.mixer.conv1d.weight,Hybrid,10.0,1638,2.969683484484752,mixer.conv1d.weight,0.0018129935802715215
backbone.layers.1.mixer.conv1d.weight,Hybrid,50.0,8192,3.8710079416632652,mixer.conv1d.weight,0.00047253514912881656
backbone.layers.1.mixer.conv1d.bias,Magnitude,0.1,4,2.858083788305521,mixer.conv1d.bias,0.7145209470763803
backbone.layers.1.mixer.conv1d.bias,Magnitude,1.0,40,2.8678572985033193,mixer.conv1d.bias,0.07169643246258298
backbone.layers.1.mixer.conv1d.bias,Magnitude,5.0,204,2.886258284250895,mixer.conv1d.bias,0.014148324922798505
backbone.layers.1.mixer.conv1d.bias,Magnitude,10.0,409,3.054331112653017,mixer.conv1d.bias,0.00746780223142547
backbone.layers.1.mixer.conv1d.bias,Magnitude,50.0,2048,6.720246558388074,mixer.conv1d.bias,0.0032813703898379267
backbone.layers.1.mixer.conv1d.bias,Gradient,0.1,4,2.8563263105849424,mixer.conv1d.bias,0.7140815776462356
